text,label
Break them up .,1.0
"Victim Judy Burstein , 55 , had met the singer , Michoel Streicher , 50 , at his performances five years ago in Rockland County , Brooklyn and Lakewood , NJ .",0.0
HIV/AIDS is n't killing them off fast enough .,1.0
"Just wait until they find a school where Asian girls are more violent and stupid than black males , and the leftists will have a plan on how to fight the achievement gap .",1.0
As far as i know they are `` frozen '' bacause they are waiting to see how things will turn out with new `` anti-racists '' laws and act then .,0.0
This was a bad move by the Jew puppets .,1.0
Just because we can `` breed '' does n't mean we should .,1.0
things u put on yer teeth just kidding ... seen guys with those things that suppose to hold up pants ? theyre red or white ? and theyre not belts. welcome to skinhead charades .,1.0
"They 're probably as high-maintenance as one of those crappy old East German Trabants , though .",1.0
"Here ´ s some ideas for you , https : //www.stormfront.org/forum/show ... = 298321 & page = 3",0.0
This is why I avoid them .,0.0
"In high school i got all kinds of hell for having an article on Rudolph Hess , and this was before i was even a WN .",0.0
I never attacked you and i am not your son plus i dont care what you done.P M if you have a problem,0.0
"In your dreams negress , when SD comes into the Riksdag ...",0.0
"For all of liberals ' ranting about tribalism , they behave in a very tribal manner themselves .",1.0
I think it is a bit late to think to look after the safety and the future of white people in South africa .,1.0
I just click on the open forums for the entertainment .,0.0
Though Micronesians eat it by the gross .,0.0
i hope our patriots will throu eggs at them and will say some thing like get out to the jungle or i think our coach will make them to go to the trainnig at minus - 30C or - 50F that they uuuu will never be able to play agane and will fly to africa after first tranning 2508,1.0
https : //www.stormfront.org/forum/showthread.php ? t = 253531,0.0
Perhaps I will search out that damnable disk and come visiting .,0.0
We are part of the thraco-celtic ethnic group .,0.0
Woy's face was a picture at the end of that Uruguay game .,0.0
You can feel there like in 1944 .,0.0
As a brit my knowledge of american law is somewhat lacking but even i know that this holder groid has committed treason,1.0
"Two days ago I tapped out a half asian , half White mongrel who was bigger than me .",1.0
"Hmm... let 's try again , viewing by number of asylum seekers per 1,000 population .",0.0
You know if you get past all of there violent animal acts of intimidation they have a soft jaw !,1.0
"Yes, it is a symbol in the past and has no place in the present because when it is used for the advancement of white nationalism it proves to only hold us back so thus it shouldn t be used and should go down in history where it belongs .",0.0
I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,1.0
"These are the latest statistics , Ethnic groups : Irish 87.4 % , other white 7.5 % , Asian 1.3 % , black 1.1 % , mixed 1.1 % , unspecified 1.6 % ( 2006 census ) , so even if that seven percent was all poles , if you add up all the mud races , it would be equivalent .",1.0
It has obviously been misunderstood and i would been keen to learn more .,0.0
At least shop where a white is at the counter is my rule .,1.0
Hell they fry it in lard and eat it with rice .,0.0
"I always thought it would be cool if somebody covertly set off a nuke in Kashmir , and then we all could sit back and watch as the Paki 's and Indians nuke the scheiss out of each other .",1.0
We need to eliminate all of those elements from the white race .,1.0
"Whites have the following Too many abortions , too many mixed marriages , too many no kids marriages , and too many liberals .",1.0
"And yes , they will steal anything from whites because they think whites owe them something , so it 's ok to steal .",1.0
All we here an Stormfront Britain are saying is that MASS white immigration is detrimental to OUR nation for the reasons we have given time after time .,1.0
My wife had to spend time at the UP Hospital in Philadelphia - thank God I was licensed to carry in Pa. Downtown Philadelphia is becoming a cesspool .,1.0
open a new shop somewhere get my son more interested in education ( he hates school ) help mor ein my community try to whiten things up > >,1.0
Israel 3rd Worldwide in ' Millionaire Growth ' in 2009 - Finances & Business - Israel News - Israel National News,0.0
"Thankfully, the C.W. Camp-Out will go ahead this year .",0.0
"Rock music video for 12 Stones band , with truck footage .",0.0
forming one little place ... a village or a small community that is purely White and that no other race can enter or interact with unless it has majority consent .,0.0
We are far closer to being neanderthals than apes .,1.0
"The sister of Daniel Wretström spoke at a march to remember his murder , followed directly by a speech by Blood and Honor .",0.0
I watched it today and I must say it 's a very good movie .,0.0
"We need more of our kids on the honor role and in college , crowding out the non-W 's !",1.0
We have to start somewhere with more than talk .,0.0
Angela Spain was murdered in her home by a drifter negro .,1.0
Why would you want to see this pollution spread further into our gene pool ?,1.0
"The white population must have a place it calls its own , segregated .",1.0
Why would you want to see this pollution spread further into our gene pool ?,1.0
That's a shame I bought their home school publication years back .,0.0
"For all of liberals ' ranting about tribalism , they behave in a very tribal manner themselves .",1.0
"If you think this is bad , wait until she gets to middle school and she has to read clap trap like Roll of Thunder Hear My Cry and see the movie .",0.0
What they say and what the want to do are miles apart https : //www.facebook.com/NationalRif ... 4033633761833/,0.0
But in The Bible there is no verses that prohibit inter-racial relationships or mixed race children is there ?,0.0
That or it might be that Blacks have smaller brains and an IQ 15-30 points lower than that of White people on average .,1.0
"It's pretty simple ; if they come at you , you come at them .",0.0
Negros are so dumb .,1.0
We can turn the cold useless parts of Canada into a dumping ground for Jews and arm the Indians to keep them in line .,1.0
Imagine the uproar if the black girl said `` ten '' .,0.0
"The red scum will never wake up , ignorant lefties fight for `` their class '' when their making a mockery of their culture and heritage . commie scum ..",1.0
They always think they are somehow exempt from the rules,1.0
They feel the need to close down a prison full of terroris / people who aided in the killing of our soldiers and scatter them all around the world. ??????????????????,0.0
"No, I 'm in Spanish class at school in Canada and we focus sometimes on Mexican slang and do n't learn vosotros .",0.0
Just because we can `` breed '' does n't mean we should .,1.0
Please do n't use the fallacy of authority either .,0.0
"Its about time we as a nation take matters into our own hands , over throw the government stop the white genocide deport all immigrants and establish a government to help indigenous white Britons rebuild this country .",1.0
Other than the Amish no other group of whites have large families .,0.0
"I hate to be the grammar teacher , but you need to use paragraph and line breaks in the future for something like this .",0.0
"Yep the bottom line is without a strong family behind her a young girl is very vulnerable .. The Jew knows this and Glamorises the Negro using its media power , here we see the results .",1.0
This is just some horny dumb kid .,0.0
"As fast as nature is trying to thin them out , our country is undoing the work .",0.0
"When I was last time in South Africa , we went to Sun City and saw little black monkey children swimming , funniest thing was watching drying water off their faces , it looks exactly like baboon or something , way they do it , whites have certain mannerisms with doing things , they have completely ape-like ones .",1.0
It's going to take everyone working together to beat the New World Order .,1.0
"Its a shame really , but watch out for those people because one day they 'll turn round and tell their gun carrying black friends that you hate them because they 'll black .",0.0
This is completely disgusting ... How can we continue to house these people who have complete contempt for us and all our laws and customs ?,1.0
Hope you have a great day my friend and have pint or two on me !!,0.0
"It is good that anti-White , is working its way out into the mainstream though .",0.0
Break them up .,1.0
"Not this again . As far as I 'm concerned , it 's just a photo of inmates burning clothes of typhus victims , not corpses .",0.0
i feel sorry for her if one of her daughters did die but the harsh reality is she has no connection to ireland and she must go.as a mother it is her job to protect her children in Nigeria.every Nigerian who has a problem cant come running over here,1.0
Foreign of course .,0.0
I have to go to work now .,0.0
I can only pray this babboon mongoloid did n't have any children so his seed will not continue on on this Earth .,1.0
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1.0
The big black females pushed their way into the Houston city counsel meeting and said all of the white teachers they used to have all quit ( do you wonder why ? ) and all you sent us to replace all them teachers was a bunch of dumb blacks .,1.0
"But one cannot deny that the greatest responsibility for this war goes to France and Great Britain , after all those are those two nations who have declared war in Germany ...",0.0
Can someone help me find an ol ' comrade of mine who 's now rotting in a California Prison for his next two lives for allegedly victimizing anti-racist scum ?,1.0
Jewish Supremicism is at the end of its noose. : madex,1.0
The Official Website of the British People 's Party A few unpleasant truths re. the zionist ass lickers of the DUP,1.0
"God, it is sickening to see these young lives taken by feral negroes .",1.0
Maybe they 're confusing the fact that we 're tired of LIBTARDS on TV for our being tired of White people .,1.0
"That is not against the rules , to discuss theology IS .",0.0
"I am not critisizing , you are right , we should all just grow up .",0.0
"I did both , but i keep watching us go extinct .",0.0
They carry those `` n * * * * r brushes '' and sag their pants .,0.0
Visit http://HolocaustHandbooks.com today,0.0
He should be flagged and reported. skyyjohn 's Channel - YouTube EstablishedMen.com sent me on a blind date !,1.0
This was taken Monday morning .,0.0
Wolf 278,0.0
And it stunk like refer and black sweat .,1.0
"if its such a big deal that you need to talk about it , yes. you are a non-white. you might as well be fully mongol .",1.0
She does this two or three times a week .,0.0
It seems to me that nature is taking out the trash .,0.0
"Although many have asked us to put it aside in politics , this thread is for all those who see where HATE FITS IN and why WE NEED THE HATE WAVE TO CONTINUE .",1.0
Its brainwashing starts at school they dont understand they dont know any better .,0.0
Frederick neichzche embraced the notion that for a race to evolve there had to be a struggle to kill of the weaker elements to keep them from contaminating the gene pool. in the US one could say that there is a breeding program to breed dumb ghetto blacks .,1.0
I feel like im the only `` white '' guy here .... Anyway if anybody is in the New York area let me know ! : attack,0.0
"Shows what sub human group these negroid belong , the poor horse got an infection from the dirty pervert .",1.0
You sound like an intelligent person but how can you say that we need to remove race from our message when that is our message .,0.0
"No man , you got to listen to pass .",0.0
This looks really good Peachy .,0.0
"Thank you for your kind words , hope to meet you in the new white world one day soon .",1.0
In many countries the Jew/white liberal will throw you in jail for longer than a murderer for denying their `` evidence '' !,1.0
Any purported `` holy book '' which says such vile & despicable things as the talmud says about Mary & Jesus cannot come from a place of goodness.Jews are so convinced of their superiority that they think they can trick God of their love & fidelity by pretending to honor him .,1.0
"The Western teen was naturally grossed out , and then they cut to different scene .",0.0
I think the UK is more of a lost cause than the US. london has made tons of concessions to non whites .,1.0
Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .,1.0
Cowardly scum from the Irish countryside bigging up in army jackets .,1.0
Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,1.0
"This savage has n't moved on from 300 years ago where her ancestors used to cook their enemies in cauldrons , ghastly people .",1.0
Something must be done to halt this terrible wave of immigrants entering Britain .,1.0
"Not sure if this is the correct place i should post it , but a good video that just uploaded on youtube about these hypocrites .",1.0
I was really worried about this one because I thought a bunch of groids were going to hop out of the cars signifying the town to get so excited and the women to remove clothing ....,1.0
Used it as his service dress revolver .,0.0
I've been out all day today and I have n't seen a single one of ' em .,0.0
Many of them are doing just as their masters desire .,1.0
Islam is a false religion however unlike some other false religions it is crude and appeals to crude people such as arabs .,1.0
You got that right in one go.Lets hope he gets well soon and on his way home If you do n't have these apes in your great Country then count your blessings,1.0
I've told my friends and all of them agree with me ( some only partially ) .,0.0
Jeremy WPWW,0.0
I bet you can see the Mexic-ants from space with the Google Earth. photo ants on picnic table CYF salt of the earth,1.0
"Though I am not a Christian , I can read it alongside the English and try to figure out words I do n't know .",0.0
Thank you for sharing this website with us its really intrested and I learned something new and I like to learn .,0.0
"This is really not European news , but everybody should know that after years of Lebanese and other arabs intimmidating white women on Cronulla beach and after the cowardly attack on two white life-savers ( !! ) the Lebanese got theirs yesterday .",1.0
open a new shop somewhere get my son more interested in education ( he hates school ) help mor ein my community try to whiten things up > >,1.0
Put 's Shakespeare 's Shylock to shame ... if Mr. Weiss had whiskers he would be indistinguishable from a rat. ],0.0
The only species that constantly grabs his crotch in front of others and waves their arms around furiously are : 1. monkeys 2. blacks 3. both of the above Need I say more ?,1.0
"Went outside for recess , and noticed two niglet boys being hostile and ready to rumble , and I figured right that they jumped on each other after returning to class , grabbing Niglet Number One , hauling him outside and pressed that panic button again .",1.0
The next time you post something this long please quote a little bit and then leave the link for whoever wants to read the whole thing .,0.0
"It only took Labour ten years to bring more immigrants * cough * invaders , here than had ever migrated here in the last 5 thousand years .",1.0
I saw that episode of the Sopranos ... and was applauding Tony !,0.0
There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .,1.0
All i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way .,1.0
You've managed to climb your way out of the valley of deceit and you 've found your way to the pastures of truth .,0.0
"The Armenian DNA R1b -- 32 % I -- 38 % R1a --- 6 % J --- 6 % Source : Authors : Michael E. Weale Levon Yepiskoposyan Rolf F. Jager Nelli Hovhannisyan Armine Khudoyan Oliver Burbage-Hall Neil Bradman , Mark G. Thomas Title : Armenian Y chromosome haplotypes reveal strong regional structure within a single ethno-national group Hum Genet ( 2001 ) 109 : 659 674 DOI 10.1007/s00439-001-0627-9 Received : 14 September 2001 / Accepted : 14 September 2001 / Published online : 30 October 2001 ORIGINAL INVESTIGATION M.E. Weale ( ✉ ) R.F. Jager O. Burbage-Hall N. Bradman M.G. Thomas Centre for Genetic Anthropology , Departments of Biology and Anthropology , University College London , University of London , Darwin Bdg , Gower St , London WC1E 6BT , UK e-mail : m.weale@ucl.ac.uk , Tel. : + 44-207-4043040 , Fax : + 44-207-4042081 L. Yepiskoposyan N. Hovhannisyan A. Khudoyan Institute of Man , Yerevan , Armenia R.F. Jager Faculteit Biologie , Vrije Universiteit Amsterdam , Amsterdam , The Netherlands http://www.ucl.ac.uk/tcga/tcgapdf/We ... 01-Armenia.pdf Table 1 Y chromosome haplogroup frequencies in six Armenian regions ( determined by paternal grandparental birthplace ) and eight comparative data sets Extract Ararat North Syunik K bakh Iranian West Turkey .",0.0
I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,1.0
It 's like `` The Legend Of / Vigger Charlie '' on crack .,0.0
The students who study arts tend to like bohemian teachers while I as a math student prefer more engineer type teachers .,0.0
"You weather the zionist storm well , my brother .",1.0
Was an asset,0.0
The powers that be want all Whites dumbed down with Negro blood .,1.0
"It is like they would bleach their hair blonde and bleach their skin `` White '' , speak English , etc but still they would torment others with their Black characteristics .",1.0
Asians are smart .,0.0
"When I was last time in South Africa , we went to Sun City and saw little black monkey children swimming , funniest thing was watching drying water off their faces , it looks exactly like baboon or something , way they do it , whites have certain mannerisms with doing things , they have completely ape-like ones .",1.0
I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,1.0
Welcome to the front lines ...,0.0
"Latest reported attack on students by the local Negroes was on a couple out getting a pizza in the late evening hours , 4 Blacks jumped them on their walk home .",1.0
Brother You remind Me of a Young Meatloaf !,0.0
"Striking was n't even dominated by grappling when the rules were minimal , let alone now .",0.0
In central London you will really struggle to see a white British person .,0.0
I noticed the crime stats for Kalispell are a little higher than average .,0.0
The only bad thing is that these sick animals will infect whites .,1.0
This is the same race that thinks raping babies cures AIDS .,1.0
The majority of them are as stupid as real Negroes .,1.0
I 'm not a nig and need a day off to smoke blunts and drink 40 ouncers .,1.0
I bet they wouldnt have done that crap to a black person that had black power or those black fists that the panthers use written on his back pack .,1.0
Its funny how the unregistered members or the open forum members try to rationalize their thoughts,0.0
I am within an hour from Saskatoon .,0.0
Perhaps the proud indigenous inhabitants of Dublin do n't want their culture ' enriching ' ( ruining ) with tripe like this .,1.0
They're coming out of the woodwork to oppose white unity and White History Month .,1.0
